http://backpack.tf/vote/id/502d3a059ae21a945c000000,unique,voodoo juju,up 11 ref from 55 ref
http://backpack.tf/vote/id/502c12289ae21a762d000000,unusual,stormy storm big elfin deal,down 3.23 buds from 5.23 buds
http://backpack.tf/vote/id/502c07c59ae21ac47c000000,unusual,purple confetti virtual reality headset,up 10.12 ref from 66.13 ref
http://backpack.tf/vote/id/502b67749ae21ab443000000,unusual,orbiting fire hat with no name,up 50.19 ref from 1.74 buds
http://backpack.tf/vote/id/502b20d09ae21a3a4b000000,unusual,cloudy moon big country,up 3.64 buds from 4.36 buds
http://backpack.tf/vote/id/502c42589ae21a3926000000,unusual,vivid plasma sober stuntman,down 11.84 ref from 2.18 buds
http://backpack.tf/vote/id/502c42349ae21ab222000000,unusual,blizzardy storm sober stuntman,down 40.73 ref from 2.61 buds
http://backpack.tf/vote/id/502d338c9ae21aae3c000000,unique,squad surplus voucher,first price set
http://backpack.tf/vote/id/502d38b79ae21a5855000000,unique,power up canteen,first price set
http://backpack.tf/vote/id/502913789ae21ace17000000,unusual,cloudy moon sultan's ceremonial,up 3.52 buds from 4.48 buds
http://backpack.tf/vote/id/502912089ae21ad10c000000,unusual,cloudy moon private eye,up 1.86 buds from 8.14 buds
http://backpack.tf/vote/id/5022c2629ae21a3d50000001,unusual,searing plasma cosa nostra cap,up 62.94 ref from 1.74 buds
http://backpack.tf/vote/id/502c3a669ae21a9279000000,unusual,steaming hat with no name,down 69.34 ref from 3.49 buds
http://backpack.tf/vote/id/502c06f99ae21a4378000000,unusual,flaming lantern safe'n'sound,first price set
http://backpack.tf/vote/id/502bf1f99ae21a2415000000,unusual,stormy storm stout shako,down 74.25 ref from 3.62 buds
http://backpack.tf/vote/id/502c08f89ae21a8402000000,unusual,steaming big country,down 27.38 ref from 1.74 buds
http://backpack.tf/vote/id/502917729ae21abe2d000000,unusual,smoking anger,up 1.39 buds from 2.61 buds
http://backpack.tf/vote/id/502bf7619ae21a5d2e000000,strange,strange medi gun,up 0.33 ref from 4 ref
http://backpack.tf/vote/id/5027d1029ae21ae273000002,unusual,blizzardy storm birdcage,up 31.62 ref from 1.92 buds
http://backpack.tf/vote/id/502cb5149ae21a8040000000,unique,tour of duty ticket,first price set
http://backpack.tf/vote/id/502c6cef9ae21a646e000003,unique,the toss-proof towel,down 0.22 ref from 4.55 ref
http://backpack.tf/vote/id/502c58759ae21aec14000000,unusual,steaming stately steel toe,down 57.84 ref from 2.26 buds
http://backpack.tf/vote/id/502c57559ae21a3e0e000001,unusual,scorching flames backbiter's billycock,up 58.72 ref from 2.61 buds
http://backpack.tf/vote/id/502bf4dc9ae21a731c000000,unusual,green energy private eye,up 58.72 ref from 2.61 buds
http://backpack.tf/vote/id/502ba3a89ae21a1f03000000,unusual,vivid plasma salty dog,up 65.02 ref from 2.02 buds
http://backpack.tf/vote/id/502d4a439ae21a251d000000,unique,noise maker - winter holiday,down 0.05 ref from 0.11 ref
http://backpack.tf/vote/id/502dabef9ae21a8008000000,unique,the capo's capper,down 0.17 ref from 1.5 ref
http://backpack.tf/vote/id/502dc4c69ae21afb07000000,unique,the birdcage,down 0.33 ref from 1.66 ref
http://backpack.tf/vote/id/502d73789ae21a4061000000,unique,l'inspecteur,down 0.35 ref from 1.68 ref
http://backpack.tf/vote/id/502c49b79ae21a684a000000,unusual,orbiting fire outdoorsman,up 10 ref from 60 ref
http://backpack.tf/vote/id/502d63f89ae21a230f000000,unique,the ebenezer,up 1.34 ref from 8.66 ref
http://backpack.tf/vote/id/502aabdd9ae21abb32000000,strange,strange jarate,up 0.21 ref from 0.67 ref
http://backpack.tf/vote/id/502968349ae21a207c000000,genuine,genuine quadwrangler,up 2 ref from 8 ref
http://backpack.tf/vote/id/502d70779ae21ae553000000,strange,strange festive sniper rifle,up 12.85 ref from 35.7 ref
http://backpack.tf/vote/id/502db6d59ae21ac73f000000,unusual,nuts n' bolts attendant,up 15.15 ref from 57.78 ref
http://backpack.tf/vote/id/502db7099ae21a2141000000,unusual,bubbling attendant,up 41.67 ref from 57.78 ref
http://backpack.tf/vote/id/502d8dcd9ae21a4469000000,strange,strange jag,up 0.33 ref from 1.33 ref
http://backpack.tf/vote/id/502d65159ae21a3013000000,unique,clan pride,down 0.33 ref from 2.33 ref
http://backpack.tf/vote/id/502d5f8b9ae21a0579000000,genuine,genuine cross-comm crash helmet,down 1 ref from 5 ref
http://backpack.tf/vote/id/502d49fc9ae21a811d000000,unique,festive minigun,up 0.34 ref from 2.66 ref
http://backpack.tf/vote/id/502cbc149ae21a7d5a000000,unusual,nuts n' bolts ol' snaggletooth,first price set
http://backpack.tf/vote/id/502d77799ae21a1478000000,unique,a color similar to slate,up 0.11 ref from 0.66 ref
http://backpack.tf/vote/id/502d5e519ae21a7d6d000000,genuine,genuine cross-comm express,down 1.55 ref from 7.55 ref
